Name
Å½ilavka
Agiorgitiko
Aglianico
Albana
Albariño
Aleatico
Alfrocheiro
Alicante
Alicante Bouschet
Aligoté
Alsace white blend
Altesse
Alvarinho
Alvarinho-Chardonnay
Antão Vaz
AragonÃªs
Arinto
Arneis
Asprinio
Assyrtico
Assyrtiko
Austrian Red Blend
Austrian white blend
Auxerrois
BabiÄ‡
Baco Noir
Baga
Barbera
Barbera-Nebbiolo
Bastardo
Bical
Blanc du Bois
Blauburger
Blaufränkisch
BoÄŸazkere
Bobal
Bonarda
Bordeaux-style Red Blend
Bordeaux-style White Blend
Bovale
Brachetto
Braucol
Bual
Cabernet
Cabernet Blend
Cabernet Franc
Cabernet Franc-Cabernet Sauvignon
Cabernet Franc-Merlot
Cabernet Merlot
Cabernet Sauvignon
Cabernet Sauvignon Grenache
Cabernet Sauvignon-Cabernet Franc
Cabernet Sauvignon-Carmenère
Cabernet Sauvignon-Malbec
Cabernet Sauvignon-Merlot
Cabernet Sauvignon-Merlot-Shiraz
Cabernet Sauvignon-Sangiovese
Cabernet Sauvignon-Shiraz
Cabernet Sauvignon-Syrah
Cabernet Sauvignon-Tempranillo
Cabernet-Syrah
Cannonau
Carignan
Carignan-Grenache
Carignan-Syrah
Carignano
Carineña
Carmenère
Carmenère-Syrah
Carricante
Casavecchia
Castelão
Catarratto
Centesimino
Cerceal
Cesanese d'Affile
Chambourcin
Champagne Blend
Chancellor
Charbono
Chardonel
Chardonnay
Chardonnay Weissburgunder
Chardonnay-Pinot Blanc
Chardonnay-Sauvignon Blanc
Chardonnay-Semillon
Chardonnay-Viognier
Chasselas
Chenin Blanc
Chenin Blanc-Chardonnay
Chenin Blanc-Sauvignon Blanc
Chenin Blanc-Viognier
Chinuri
Ciliegiolo
Cinsault
Claret
Coda di Volpe
Códega do Larinho
Colombard
Colombard-Sauvignon Blanc
Colombard-Ugni Blanc
Cortese
Corvina
"Corvina, Rondinella, Molinara"
Counoise
Dafni
Diamond
Dolcetto
Dornfelder
Durella
Edelzwicker
Elbling
Emir
Encruzado
Falanghina
Fer Servadou
Fernão Pires
Feteasca
Feteasca Neagra
FeteascÇŽ RegalÇŽ
Fiano
Frappato
Friulano
Fumé Blanc
Furmint
G-S-M
Gaglioppo
Gamay
Gamay Noir
Gamza
Garganega
Garnacha
Garnacha Blanca
Garnacha Tintorera
Garnacha-Monastrell
Garnacha-Syrah
Garnacha-Tempranillo
Gelber Muskateller
Gewürztraminer
Gewürztraminer-Riesling
Glera
Godello
Gouveio
Graciano
Grauburgunder
Grechetto
Greco
Grenache
Grenache Blanc
Grenache Blend
Grenache Gris
Grenache Noir
Grenache-Carignan
Grenache-Mourvèdre
Grenache-Shiraz
Grenache-Syrah
Grignolino
Grillo
Gros and Petit Manseng
Gros Manseng
Grüner Veltliner
Hondarrabi Zuri
Insolia
Inzolia
Jacquère
Jampal
Johannisberg Riesling
Kalecik Karasi
Kekfrankos
Kerner
Kisi
Lagrein
Lambrusco
Lambrusco di Sorbara
Lambrusco Grasparossa
Lemberger
Listán Negro
Loin de l'Oeil
Loureiro
Loureiro-Arinto
Macabeo
Macabeo-Chardonnay
Magliocco
Malagousia
Malagouzia-Chardonnay
Malbec
Malbec Blend
Malbec-Cabernet Franc
Malbec-Cabernet Sauvignon
Malbec-Merlot
Malbec-Syrah
Malbec-Tempranillo
Malvasia
Malvasia Bianca
Malvasia Fina
Malvasia Istriana
Malvasia Nera
Malvasia-Viura
Mandilaria
Mantonico
Manzoni
Maria Gomes-Bical
Marsanne
Marsanne-Roussanne
Marsanne-Viognier
Marselan
Marzemino
Maturana
Mavroudi
Mavrud
Mazuelo
Melon
Mencía
Meritage
Merlot
Merlot-Cabernet
Merlot-Cabernet Franc
Merlot-Cabernet Sauvignon
Merlot-Malbec
Mission
Monastrell
Monastrell-Syrah
Mondeuse
Montepulciano
Moscadello
Moscatel
Moscatel Graúdo
Moscatel Roxo
Moscato
Moscato di Noto
Moscato Giallo
Moschofilero
Mourvèdre
Müller-Thurgau
Muscadelle
Muscat
Muscat Blanc
Muscat Canelli
Muscat d'Alexandrie
Muscatel
Muskat
Muskat Ottonel
Narince
Nascetta
Nebbiolo
Negrette
Negroamaro
Nerello Mascalese
Nero d'Avola
Nero di Troia
Neuburger
Norton
Nosiola
Okuzgozu
Ondenc
Orange Muscat
Pallagrello
Pallagrello Nero
Pansa Blanca
Passerina
Pecorino
Pedro Ximénez
Perricone
Petit Manseng
Petit Verdot
Petite Sirah
Picolit
Picpoul
Piedirosso
Pignoletto
Pinot Auxerrois
Pinot Bianco
Pinot Blanc
Pinot Grigio
Pinot Gris
Pinot Gris-Gewürztraminer
Pinot Meunier
Pinot Nero
Pinot Noir
Pinot Noir-Gamay
Pinot Noir-Syrah
Pinot-Chardonnay
Pinotage
Plavac Mali
Port
Portuguese Red
Portuguese Rosé
Portuguese Sparkling
Portuguese White
Portuguiser
Posip
Prieto Picudo
Primitivo
Prosecco
Provence red blend
Provence white blend
Prugnolo Gentile
Pugnitello
Raboso
Ramisco
Rebula
Red Blend
Refosco
Rhône-style Red Blend
Rhône-style White Blend
Ribolla Gialla
Rieslaner
Riesling
Rkatsiteli
Robola
Romorantin
Rosado
Rosato
Rosé
Roter Traminer
Roter Veltliner
Rotgipfler
Roussanne
Roussanne-Marsanne
Roussanne-Viognier
Ruché
Rufete
Sacy
Sagrantino
Sämling
Sangiovese
Sangiovese Cabernet
Sangiovese Grosso
Sangiovese-Syrah
Saperavi
Sauvignon
Sauvignon Blanc
Sauvignon Blanc-Chardonnay
Sauvignon Blanc-Chenin Blanc
Sauvignon Blanc-Semillon
Sauvignon Gris
Sauvignon Musqué
Savagnin
Scheurebe
Schiava
Sciaccerellu
Sémillon
Semillon-Chardonnay
Semillon-Sauvignon Blanc
Seyval Blanc
Sherry
Shiraz
Shiraz-Cabernet Sauvignon
Shiraz-Grenache
Shiraz-Tempranillo
Shiraz-Viognier
Silvaner
Siria
Sirica
Sparkling Blend
Spätburgunder
St. Laurent
Sylvaner
Symphony
Syrah
Syrah-Cabernet
Syrah-Cabernet Franc
Syrah-Cabernet Sauvignon
Syrah-Carignan
Syrah-Grenache
Syrah-Mourvèdre
Syrah-Petite Sirah
Syrah-Viognier
Tannat
Tannat-Cabernet
Tannat-Cabernet Franc
Tannat-Merlot
Tannat-Syrah
Tempranillo
Tempranillo Blanco
Tempranillo Blend
Tempranillo-Cabernet Sauvignon
Tempranillo-Garnacha
Tempranillo-Merlot
Tempranillo-Shiraz
Teroldego
Tinta Barroca
Tinta de Toro
Tinta del Pais
Tinta Fina
Tinta Francisca
Tinta Madeira
Tinta Miúda
Tinta Roriz
Tinto del Pais
Tinto Fino
Tocai
Tocai Friulano
Tokaji
Torrontés
Touriga Franca
Touriga Nacional
Touriga Nacional Blend
Touriga Nacional-Cabernet Sauvignon
Trajadura
Traminer
Trebbiano
Treixadura
Trincadeira
Trousseau
Trousseau Gris
Tsolikouri
Turbiana
Ugni Blanc-Colombard
Uva di Troia
Verdeca
Verdejo
Verdejo-Sauvignon Blanc
Verdejo-Viura
Verdelho
Verdicchio
Verduzzo Friulano
Vermentino
Vernaccia
Vidal
Vidal Blanc
Vignoles
Viognier
Viognier-Chardonnay
