Vintage,Country_id,Points,Price,Name,Varietal_id,Winery
1/1/12,18,92,$23.00,Contrade di Taurasi - Lonardo 2012 Aglianico (Irpinia),3,Contrade di Taurasi - Lonardo
1/1/12,18,87,$19.00,Tenute Girolamo 2012 Codalunga Aglianico (Puglia),3,Tenute Girolamo
1/1/12,18,86,$25.00,Cantine di Marzo 2012 Cantine Storiche Aglianico (Irpinia),3,Cantine di Marzo
1/1/12,18,90,$34.00,Donnachiara 2012 di Umberto (Taurasi),3,Donnachiara
1/1/12,18,88,$16.00,Masseria Altemura 2012 Aglianico (Puglia),3,Masseria Altemura
1/1/13,18,87,$24.00,Nativ 2013 Aglianico (Irpinia),3,Nativ
1/1/13,18,89,,Basilisco 2013 Cruà (Aglianico del Vulture),3,Basilisco
1/1/13,18,87,$30.00,Grifalco 2013 Damaschito (Aglianico del Vulture),3,Grifalco
1/1/13,18,89,$19.00,Feudi di San Gregorio 2013 Rubrato Aglianico (Irpinia),3,Feudi di San Gregorio
1/1/13,18,92,$45.00,D'Angelo 2013 Valle del Noce (Aglianico del Vulture),3,D'Angelo
1/1/13,18,87,$18.00,Cantina di Venosa 2013 Terre di Orazio (Aglianico del Vulture),3,Cantina di Venosa
1/1/14,18,87,$13.00,Bisceglia 2014 Terre del Vulcano (Aglianico del Vulture),3,Bisceglia
1/1/14,18,86,$45.00,Nativ 2014 Blu Onice Aglianico (Irpinia),3,Nativ
1/1/15,18,89,$15.00,Paternoster 2015 Aglianico del Vulture,3,Paternoster
1/1/10,37,81,$24.00,Montoliva 2010 Aglianico (Sierra Foothills),3,Montoliva
1/1/12,37,91,$30.00,West of Temperance 2012 Aglianico (California),3,West of Temperance
1/1/14,37,92,$45.00,Giornata 2014 Luna Matta Vineyard Aglianico (Paso Robles),3,Giornata
1/1/14,37,90,$18.00,Terra d'Oro 2014 Aglianico (Amador County),3,Terra d'Oro
1/1/06,18,92,$50.00,Fattoria Zerbina 2006 Scaccomatto Passito Botrytis (Albana di Romagna),4,Fattoria Zerbina
1/1/11,18,87,$14.00,Tre Monti 2011 Vigna Rocca (Albana di Romagna),4,Tre Monti
1/1/15,18,89,$15.00,Fattoria Paradiso 2015 Vigna dell'Ulivo Albana (Romagna),4,Fattoria Paradiso
1/1/15,18,89,$15.00,Trerè 2015 ArlÃ¹s Albana (Romagna),4,Trerè
1/1/15,18,87,$25.00,La Sabbiona 2015 Alba della Torre Secco Albana (Romagna),4,La Sabbiona
1/1/15,18,89,$20.00,Braschi 2015 Campo Mamante Anfora Albana (Romagna),4,Braschi
1/1/15,18,89,$35.00,Villa Papiano 2015 Terra! Albana,4,Villa Papiano
1/1/15,18,87,,Podere La Berta 2015 Albana (Romagna),4,Podere La Berta
1/1/16,18,91,$15.00,Tre Monti 2016 Vigna Rocca Albana (Romagna),4,Tre Monti
1/1/00,32,81,$12.00,Vionta 2000 Albariño (Rías Baixas),5,Vionta
1/1/03,32,87,$19.00,D. Pedro de SoutoMaior 2003 Albariño (Rías Baixas),5,D. Pedro de SoutoMaior
1/1/05,32,88,$20.00,Quinta Couselo 2005 Turonia Albariño (Rías Baixas),5,Quinta Couselo
1/1/06,32,90,$15.00,Condes de Albarei 2006 Erxebre Albariño (Rías Baixas),5,Condes de Albarei
1/1/06,32,89,$22.00,Don Olegario 2006 Albariño (Rías Baixas),5,Don Olegario
1/1/07,32,88,$24.00,Terras Gauda 2007 O Rosal Albariño (Rías Baixas),5,Terras Gauda
1/1/08,32,89,$15.00,Viña Almirante 2008 Pionero Maccerato Albariño (Rías Baixas),5,Viña Almirante
1/1/09,32,90,$15.00,Leira 2009 Albariño (Rías Baixas),5,Leira
1/1/09,32,90,$30.00,Lusco 2009 Albariño (Rías Baixas),5,Lusco
1/1/09,32,89,$24.00,Adega dos Eidos 2009 Eidos de Padriñán Albariño (Rías Baixas),5,Adega dos Eidos
1/1/10,32,87,$25.00,Fillaboa 2010 Selección Finca Monte Alto Albariño (Rías Baixas),5,Fillaboa
1/1/10,32,84,$30.00,Paco & Lola 2010 Albariño (Rías Baixas),5,Paco & Lola
1/1/10,32,87,$18.00,Maior de Mendoza 2010 Sobre Lías Albariño (Rías Baixas),5,Maior de Mendoza
1/1/10,32,87,$28.00,Coto de Gomariz 2010 X Albariño (Ribeiro),5,Coto de Gomariz
1/1/10,32,86,$60.00,Zarate 2010 Balado Albariño (Rías Baixas),5,Zarate
1/1/10,32,89,$19.00,Pazo de Barrantes 2010 Pazo Barrantes Albariño (Rías Baixas),5,Pazo de Barrantes
1/1/11,32,89,$24.00,Terras Gauda 2011 O Rosal Albariño (Rías Baixas),5,Terras Gauda
1/1/11,32,87,$18.00,Ferrum 2011 Albariño (Rías Baixas),5,Ferrum
1/1/11,32,87,$16.00,Lícia 2011 Albariño (Rías Baixas),5,Lícia
1/1/11,32,86,$18.00,Lusco 2011 Zios Albariño (Rías Baixas),5,Lusco
1/1/11,32,89,$15.00,Nora 2011 Peitán Albariño (Rías Baixas),5,Nora
1/1/11,32,85,$17.00,La Caña 2011 Albariño (Rías Baixas),5,La Caña
1/1/11,32,88,$25.00,Fillaboa 2011 Selección Finca Monte Alto Albariño (Rías Baixas),5,Fillaboa
